
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.1.81.23:55126       208.115.231.102:443    ESTABLISHED     4228
  TCP    10.1.81.23:55142       40.83.247.108:443      ESTABLISHED     4152
  TCP    10.1.81.23:55173       52.109.89.18:443       CLOSE_WAIT      16220
  TCP    10.1.81.23:55212       108.177.14.188:5228    ESTABLISHED     10484
  TCP    10.1.81.23:55214       10.1.132.16:8009       ESTABLISHED     10484
  TCP    10.1.81.23:57062       149.154.167.99:443     ESTABLISHED     10484
  TCP    10.1.81.23:57623       80.93.184.195:8894     ESTABLISHED     10484
  TCP    10.1.81.23:58215       10.20.39.24:1562       ESTABLISHED     7220
  TCP    10.1.81.23:58218       10.20.39.24:1562       ESTABLISHED     7220
  TCP    10.1.81.23:58255       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:58271       64.233.164.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:58272       108.177.14.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:58280       64.233.163.94:443      TIME_WAIT       0
  TCP    10.1.81.23:58282       74.125.205.139:443     ESTABLISHED     10484
  TCP    10.1.81.23:58287       10.20.39.24:1562       ESTABLISHED     17324
  TCP    10.1.81.23:58290       10.20.39.24:1562       ESTABLISHED     17324
  TCP    10.1.81.23:58295       64.233.162.84:443      TIME_WAIT       0
  TCP    10.1.81.23:58305       64.233.165.95:443      ESTABLISHED     10484
  TCP    10.1.81.23:58306       64.233.165.95:443      ESTABLISHED     10484
  TCP    10.1.81.23:58310       108.177.14.95:443      ESTABLISHED     10484
  TCP    10.1.81.23:58315       35.227.159.135:443     TIME_WAIT       0
  TCP    10.1.81.23:58316       173.194.73.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:58324       140.82.121.5:443       ESTABLISHED     10484
  TCP    [::1]:48004            [::1]:58323            ESTABLISHED     17324
  TCP    [::1]:58293            [::1]:48004            TIME_WAIT       0
  TCP    [::1]:58323            [::1]:48004            ESTABLISHED     1168
