
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.1.81.23:55126       208.115.231.102:443    ESTABLISHED     4228
  TCP    10.1.81.23:55142       40.83.247.108:443      ESTABLISHED     4152
  TCP    10.1.81.23:55173       52.109.89.18:443       CLOSE_WAIT      16220
  TCP    10.1.81.23:55212       108.177.14.188:5228    ESTABLISHED     10484
  TCP    10.1.81.23:55214       10.1.132.16:8009       ESTABLISHED     10484
  TCP    10.1.81.23:57062       149.154.167.99:443     ESTABLISHED     10484
  TCP    10.1.81.23:57347       10.20.39.24:1562       TIME_WAIT       0
  TCP    10.1.81.23:57350       10.20.39.24:1562       TIME_WAIT       0
  TCP    10.1.81.23:57623       80.93.184.195:8894     ESTABLISHED     10484
  TCP    10.1.81.23:57727       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57736       213.180.204.194:443    ESTABLISHED     10484
  TCP    10.1.81.23:57745       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57777       77.88.21.90:443        ESTABLISHED     10484
  TCP    10.1.81.23:57829       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57847       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57872       64.233.164.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:57928       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:58056       64.233.163.101:443     TIME_WAIT       0
  TCP    10.1.81.23:58171       64.233.161.194:443     ESTABLISHED     10484
  TCP    10.1.81.23:58189       4.231.68.226:443       ESTABLISHED     10304
  TCP    10.1.81.23:58195       10.20.39.24:445        ESTABLISHED     4
  TCP    10.1.81.23:58199       209.85.233.102:443     ESTABLISHED     10484
  TCP    10.1.81.23:58200       74.125.131.95:443      ESTABLISHED     10484
  TCP    10.1.81.23:58206       64.233.164.95:443      ESTABLISHED     10484
  TCP    127.0.0.1:58204        127.0.0.1:48000        TIME_WAIT       0
  TCP    [::1]:48000            [::1]:58205            ESTABLISHED     16772
  TCP    [::1]:58205            [::1]:48000            ESTABLISHED     1168
