
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.1.81.23:5357        10.1.112.15:50688      TIME_WAIT       0
  TCP    10.1.81.23:55126       208.115.231.102:443    ESTABLISHED     4228
  TCP    10.1.81.23:55142       40.83.247.108:443      ESTABLISHED     4152
  TCP    10.1.81.23:55173       52.109.89.18:443       CLOSE_WAIT      16220
  TCP    10.1.81.23:55212       108.177.14.188:5228    ESTABLISHED     10484
  TCP    10.1.81.23:55214       10.1.132.16:8009       ESTABLISHED     10484
  TCP    10.1.81.23:57062       149.154.167.99:443     ESTABLISHED     10484
  TCP    10.1.81.23:57623       80.93.184.195:8894     ESTABLISHED     10484
  TCP    10.1.81.23:57872       64.233.164.94:443      TIME_WAIT       0
  TCP    10.1.81.23:58199       209.85.233.102:443     TIME_WAIT       0
  TCP    10.1.81.23:58200       74.125.131.95:443      TIME_WAIT       0
  TCP    10.1.81.23:58206       64.233.164.95:443      TIME_WAIT       0
  TCP    10.1.81.23:58215       10.20.39.24:1562       ESTABLISHED     7220
  TCP    10.1.81.23:58218       10.20.39.24:1562       ESTABLISHED     7220
  TCP    10.1.81.23:58233       104.18.21.226:80       TIME_WAIT       0
  TCP    10.1.81.23:58249       13.107.253.45:443      TIME_WAIT       0
  TCP    10.1.81.23:58250       204.79.197.237:443     ESTABLISHED     4880
  TCP    10.1.81.23:58254       64.233.163.94:443      TIME_WAIT       0
  TCP    10.1.81.23:58255       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:58256       64.233.162.94:80       TIME_WAIT       0
  TCP    10.1.81.23:58257       92.122.77.199:80       TIME_WAIT       0
  TCP    10.1.81.23:58258       92.122.77.199:80       TIME_WAIT       0
  TCP    10.1.81.23:58261       13.107.21.239:443      ESTABLISHED     4880
  TCP    10.1.81.23:58267       185.26.182.112:443     TIME_WAIT       0
  TCP    10.1.81.23:58268       52.168.112.67:443      ESTABLISHED     4880
  TCP    10.1.81.23:58270       146.75.54.172:80       ESTABLISHED     14756
  TCP    10.1.81.23:58271       64.233.164.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:58272       108.177.14.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:58276       149.154.167.99:443     ESTABLISHED     10484
  TCP    10.1.81.23:58280       64.233.163.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:58282       74.125.205.139:443     ESTABLISHED     10484
  TCP    10.1.81.23:58286       10.20.39.24:1541       TIME_WAIT       0
  TCP    10.1.81.23:58287       10.20.39.24:1562       ESTABLISHED     17324
  TCP    10.1.81.23:58289       10.20.39.24:1541       TIME_WAIT       0
  TCP    10.1.81.23:58290       10.20.39.24:1562       ESTABLISHED     17324
  TCP    10.1.81.23:58292       84.201.212.67:80       ESTABLISHED     3272
  TCP    127.0.0.1:58285        127.0.0.1:48004        TIME_WAIT       0
  TCP    [::1]:48004            [::1]:58293            ESTABLISHED     17324
  TCP    [::1]:58220            [::1]:48003            TIME_WAIT       0
  TCP    [::1]:58288            [::1]:48004            TIME_WAIT       0
  TCP    [::1]:58291            [::1]:48004            TIME_WAIT       0
  TCP    [::1]:58293            [::1]:48004            ESTABLISHED     1168
