
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.1.81.23:55126       208.115.231.102:443    ESTABLISHED     4228
  TCP    10.1.81.23:55142       40.83.247.108:443      ESTABLISHED     4152
  TCP    10.1.81.23:55173       52.109.89.18:443       CLOSE_WAIT      16220
  TCP    10.1.81.23:55212       108.177.14.188:5228    ESTABLISHED     10484
  TCP    10.1.81.23:55214       10.1.132.16:8009       ESTABLISHED     10484
  TCP    10.1.81.23:57062       149.154.167.99:443     ESTABLISHED     10484
  TCP    10.1.81.23:57623       80.93.184.195:8894     ESTABLISHED     10484
  TCP    10.1.81.23:57727       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57736       213.180.204.194:443    ESTABLISHED     10484
  TCP    10.1.81.23:57745       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57777       77.88.21.90:443        ESTABLISHED     10484
  TCP    10.1.81.23:57829       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57847       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57872       64.233.164.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:57928       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:58171       64.233.161.194:443     TIME_WAIT       0
  TCP    10.1.81.23:58199       209.85.233.102:443     ESTABLISHED     10484
  TCP    10.1.81.23:58200       74.125.131.95:443      ESTABLISHED     10484
  TCP    10.1.81.23:58206       64.233.164.95:443      ESTABLISHED     10484
  TCP    10.1.81.23:58215       10.20.39.24:1562       ESTABLISHED     7220
  TCP    10.1.81.23:58218       10.20.39.24:1562       ESTABLISHED     7220
  TCP    10.1.81.23:58224       2.22.3.150:80          TIME_WAIT       0
  TCP    10.1.81.23:58230       10.10.61.53:13000      TIME_WAIT       0
  TCP    10.1.81.23:58232       10.10.61.53:13000      TIME_WAIT       0
  TCP    10.1.81.23:58233       104.18.21.226:80       ESTABLISHED     1168
  TCP    10.1.81.23:58238       13.107.253.45:443      TIME_WAIT       0
  TCP    10.1.81.23:58241       13.107.21.239:443      ESTABLISHED     4880
  TCP    10.1.81.23:58242       23.64.12.18:443        ESTABLISHED     4880
  TCP    10.1.81.23:58243       13.107.21.239:443      ESTABLISHED     4880
  TCP    10.1.81.23:58244       13.107.253.45:443      ESTABLISHED     4880
  TCP    10.1.81.23:58248       178.248.233.33:443     ESTABLISHED     10484
  TCP    10.1.81.23:58249       13.107.253.45:443      ESTABLISHED     4880
  TCP    10.1.81.23:58250       204.79.197.237:443     ESTABLISHED     4880
  TCP    [::1]:48003            [::1]:58220            ESTABLISHED     7220
  TCP    [::1]:58219            [::1]:48003            TIME_WAIT       0
  TCP    [::1]:58220            [::1]:48003            ESTABLISHED     1168
  TCP    [::1]:58229            [::1]:30523            TIME_WAIT       0
  TCP    [::1]:58231            [::1]:30523            TIME_WAIT       0
