
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.1.81.23:55126       208.115.231.102:443    ESTABLISHED     4228
  TCP    10.1.81.23:55141       88.221.197.97:443      CLOSE_WAIT      5628
  TCP    10.1.81.23:55142       40.83.247.108:443      ESTABLISHED     4152
  TCP    10.1.81.23:55145       88.221.197.91:443      CLOSE_WAIT      5628
  TCP    10.1.81.23:55173       52.109.89.18:443       CLOSE_WAIT      16220
  TCP    10.1.81.23:55212       108.177.14.188:5228    ESTABLISHED     10484
  TCP    10.1.81.23:55214       10.1.132.16:8009       ESTABLISHED     10484
  TCP    10.1.81.23:57062       149.154.167.99:443     ESTABLISHED     10484
  TCP    10.1.81.23:57113       10.20.39.24:1562       TIME_WAIT       0
  TCP    10.1.81.23:57115       10.20.39.24:1562       TIME_WAIT       0
  TCP    10.1.81.23:57122       64.233.165.95:443      TIME_WAIT       0
  TCP    10.1.81.23:57123       142.251.1.84:443       TIME_WAIT       0
  TCP    10.1.81.23:57124       64.233.161.102:443     ESTABLISHED     10484
  TCP    10.1.81.23:57127       64.233.161.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:57129       64.233.161.194:443     ESTABLISHED     10484
  TCP    10.1.81.23:57133       74.125.205.95:443      TIME_WAIT       0
  TCP    10.1.81.23:57134       64.233.164.138:443     TIME_WAIT       0
  TCP    10.1.81.23:57135       142.250.150.94:443     TIME_WAIT       0
  TCP    10.1.81.23:57136       64.233.163.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:57138       64.233.164.113:443     TIME_WAIT       0
  TCP    10.1.81.23:57144       173.194.222.94:443     TIME_WAIT       0
  TCP    10.1.81.23:57145       142.250.74.1:443       TIME_WAIT       0
  TCP    10.1.81.23:57146       209.85.233.101:443     TIME_WAIT       0
  TCP    10.1.81.23:57150       142.250.150.95:443     TIME_WAIT       0
  TCP    10.1.81.23:57151       209.85.233.95:443      TIME_WAIT       0
  TCP    10.1.81.23:57152       108.177.14.196:443     TIME_WAIT       0
  TCP    10.1.81.23:57154       64.233.161.95:443      TIME_WAIT       0
  TCP    10.1.81.23:57155       64.233.161.95:443      TIME_WAIT       0
  TCP    10.1.81.23:57163       64.233.163.139:443     ESTABLISHED     10484
  TCP    10.1.81.23:57164       64.233.161.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:57165       173.194.222.94:443     TIME_WAIT       0
  TCP    10.1.81.23:57170       74.125.205.95:443      TIME_WAIT       0
  TCP    10.1.81.23:57172       74.125.205.95:443      TIME_WAIT       0
  TCP    10.1.81.23:57173       142.250.74.42:443      TIME_WAIT       0
  TCP    10.1.81.23:57174       108.177.14.196:443     TIME_WAIT       0
  TCP    10.1.81.23:57175       142.250.74.42:443      TIME_WAIT       0
  TCP    10.1.81.23:57179       74.125.131.95:443      ESTABLISHED     10484
  TCP    10.1.81.23:57180       74.125.131.84:443      TIME_WAIT       0
  TCP    10.1.81.23:57181       216.239.38.120:443     TIME_WAIT       0
  TCP    10.1.81.23:57183       74.125.131.95:443      ESTABLISHED     10484
  TCP    10.1.81.23:57184       173.194.73.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:57222       142.250.196.131:443    ESTABLISHED     10484
  TCP    10.1.81.23:57240       64.233.161.94:443      TIME_WAIT       0
  TCP    10.1.81.23:57255       64.233.162.196:443     ESTABLISHED     10484
  TCP    10.1.81.23:57262       142.251.1.95:443       TIME_WAIT       0
  TCP    10.1.81.23:57270       64.233.165.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:57283       216.239.38.120:443     ESTABLISHED     10484
  TCP    10.1.81.23:57285       142.250.74.162:443     ESTABLISHED     10484
  TCP    10.1.81.23:57286       173.194.222.94:443     ESTABLISHED     10484
  TCP    10.1.81.23:57288       108.177.14.95:443      ESTABLISHED     10484
  TCP    10.1.81.23:57289       172.67.157.29:443      ESTABLISHED     10484
  TCP    10.1.81.23:57290       142.250.150.138:443    ESTABLISHED     10484
  TCP    10.1.81.23:57292       74.125.205.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:57293       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57294       178.154.131.217:443    ESTABLISHED     10484
  TCP    10.1.81.23:57295       93.158.134.144:443     ESTABLISHED     10484
  TCP    10.1.81.23:57296       64.233.161.139:443     ESTABLISHED     10484
  TCP    10.1.81.23:57297       93.158.134.144:443     ESTABLISHED     10484
  TCP    10.1.81.23:57298       93.158.134.144:443     TIME_WAIT       0
  TCP    10.1.81.23:57299       64.233.161.139:443     ESTABLISHED     10484
  TCP    10.1.81.23:57301       178.154.131.217:443    ESTABLISHED     10484
  TCP    10.1.81.23:57302       87.250.251.92:443      ESTABLISHED     10484
  TCP    10.1.81.23:57303       93.158.134.119:443     ESTABLISHED     10484
  TCP    10.1.81.23:57304       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57306       104.18.20.226:80       TIME_WAIT       0
  TCP    10.1.81.23:57307       93.158.134.91:443      ESTABLISHED     10484
  TCP    10.1.81.23:57308       87.250.251.92:443      ESTABLISHED     10484
  TCP    10.1.81.23:57310       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57314       104.18.20.226:80       TIME_WAIT       0
  TCP    10.1.81.23:57315       10.20.39.24:445        ESTABLISHED     4
  TCP    10.1.81.23:57316       10.20.39.24:445        ESTABLISHED     4
  TCP    10.1.81.23:57317       10.20.39.24:445        ESTABLISHED     4
  TCP    10.1.81.23:57318       10.20.39.24:445        ESTABLISHED     4
  TCP    10.1.81.23:57335       10.20.39.248:13000     TIME_WAIT       0
  TCP    10.1.81.23:57336       10.10.61.53:13000      TIME_WAIT       0
  TCP    10.1.81.23:57338       10.10.61.53:13000      TIME_WAIT       0
  TCP    10.1.81.23:57346       10.20.39.24:1541       TIME_WAIT       0
  TCP    10.1.81.23:57347       10.20.39.24:1562       ESTABLISHED     16680
  TCP    10.1.81.23:57349       10.20.39.24:1541       TIME_WAIT       0
  TCP    10.1.81.23:57350       10.20.39.24:1562       ESTABLISHED     16680
  TCP    10.1.81.23:57354       108.177.14.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:57355       64.233.164.94:80       ESTABLISHED     4396
  TCP    10.1.81.23:57356       74.125.205.95:443      ESTABLISHED     10484
  TCP    10.1.81.23:57360       10.20.39.248:13000     TIME_WAIT       0
  TCP    127.0.0.1:57325        127.0.0.1:48001        TIME_WAIT       0
  TCP    127.0.0.1:57331        127.0.0.1:57330        TIME_WAIT       0
  TCP    127.0.0.1:57333        127.0.0.1:57332        TIME_WAIT       0
  TCP    127.0.0.1:57345        127.0.0.1:48002        TIME_WAIT       0
  TCP    [::1]:48002            [::1]:57353            ESTABLISHED     16680
  TCP    [::1]:57334            [::1]:30523            TIME_WAIT       0
  TCP    [::1]:57337            [::1]:30523            TIME_WAIT       0
  TCP    [::1]:57348            [::1]:48002            TIME_WAIT       0
  TCP    [::1]:57351            [::1]:48002            TIME_WAIT       0
  TCP    [::1]:57352            [::1]:48002            TIME_WAIT       0
  TCP    [::1]:57353            [::1]:48002            ESTABLISHED     15212
  TCP    [fe80::a304:8364:ac85:f7e8%6]:5357  [fe80::4921:19c:563c:263b%6]:56420  TIME_WAIT       0
