
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.1.81.23:5357        10.1.12.106:57235      TIME_WAIT       0
  TCP    10.1.81.23:5357        10.1.12.106:57251      TIME_WAIT       0
  TCP    10.1.81.23:5357        10.1.12.106:57258      TIME_WAIT       0
  TCP    10.1.81.23:5357        10.1.12.106:57452      TIME_WAIT       0
  TCP    10.1.81.23:5357        10.1.12.106:57660      TIME_WAIT       0
  TCP    10.1.81.23:5357        10.1.12.106:57829      TIME_WAIT       0
  TCP    10.1.81.23:5357        10.1.12.106:57969      TIME_WAIT       0
  TCP    10.1.81.23:5357        10.1.12.106:58056      TIME_WAIT       0
  TCP    10.1.81.23:5357        10.1.12.106:58364      TIME_WAIT       0
  TCP    10.1.81.23:55126       208.115.231.102:443    ESTABLISHED     4228
  TCP    10.1.81.23:55141       88.221.197.97:443      CLOSE_WAIT      5628
  TCP    10.1.81.23:55142       40.83.247.108:443      ESTABLISHED     4152
  TCP    10.1.81.23:55145       88.221.197.91:443      CLOSE_WAIT      5628
  TCP    10.1.81.23:55173       52.109.89.18:443       CLOSE_WAIT      16220
  TCP    10.1.81.23:55212       108.177.14.188:5228    ESTABLISHED     10484
  TCP    10.1.81.23:55214       10.1.132.16:8009       ESTABLISHED     10484
  TCP    10.1.81.23:57062       149.154.167.99:443     ESTABLISHED     10484
  TCP    10.1.81.23:57129       64.233.161.194:443     ESTABLISHED     10484
  TCP    10.1.81.23:57293       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57304       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57307       93.158.134.91:443      ESTABLISHED     10484
  TCP    10.1.81.23:57310       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57347       10.20.39.24:1562       ESTABLISHED     16680
  TCP    10.1.81.23:57350       10.20.39.24:1562       ESTABLISHED     16680
  TCP    10.1.81.23:57354       108.177.14.94:443      TIME_WAIT       0
  TCP    10.1.81.23:57439       216.58.211.14:443      TIME_WAIT       0
  TCP    10.1.81.23:57451       64.233.163.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:57476       142.250.74.142:443     ESTABLISHED     10484
  TCP    10.1.81.23:57477       142.251.1.95:443       ESTABLISHED     10484
  TCP    10.1.81.23:57483       10.10.61.53:13000      TIME_WAIT       0
  TCP    10.1.81.23:57485       10.10.61.53:13000      TIME_WAIT       0
  TCP    10.1.81.23:57497       10.20.39.24:1541       TIME_WAIT       0
  TCP    10.1.81.23:57498       10.20.39.24:1562       ESTABLISHED     8952
  TCP    10.1.81.23:57500       10.20.39.24:1541       TIME_WAIT       0
  TCP    10.1.81.23:57501       10.20.39.24:1562       ESTABLISHED     8952
  TCP    127.0.0.1:57479        127.0.0.1:57478        TIME_WAIT       0
  TCP    127.0.0.1:57481        127.0.0.1:57480        TIME_WAIT       0
  TCP    127.0.0.1:57496        127.0.0.1:48006        TIME_WAIT       0
  TCP    [::1]:48006            [::1]:57506            ESTABLISHED     8952
  TCP    [::1]:57482            [::1]:30523            TIME_WAIT       0
  TCP    [::1]:57484            [::1]:30523            TIME_WAIT       0
  TCP    [::1]:57499            [::1]:48006            TIME_WAIT       0
  TCP    [::1]:57502            [::1]:48006            TIME_WAIT       0
  TCP    [::1]:57503            [::1]:48006            TIME_WAIT       0
  TCP    [::1]:57504            [::1]:48006            TIME_WAIT       0
  TCP    [::1]:57505            [::1]:48006            TIME_WAIT       0
  TCP    [::1]:57506            [::1]:48006            ESTABLISHED     15212
